#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-67.224961,50,40.835747
-77.884331,50,40.890801
-54.72066,50,40.943914
-69.180897,50,40.998605
-70.327453,50,41.053655
-58.430918,50,41.108045
-78.986911,50,41.161434
-89.911459,50,41.21513
-72.758097,50,41.269078
-55.995618,50,41.322878
-65.114717,50,41.37662
-53.065739,50,41.430634
-58.417371,50,41.48574
-57.765882,50,43.057001
-63.105739,50,43.113772
-65.356905,50,43.167325
-69.432807,50,43.221086
-62.382138,50,43.274934
-58.9321,50,43.328578
-75.812475,50,43.382204
-73.692456,50,43.435737
-58.546649,50,43.489688
-67.083154,50,43.543043
-73.300034,50,43.596398
-60.67017,50,43.649703
-44.067316,50,43.70301
-64.251791,50,43.756629
-62.050076,50,43.810423
-68.271822,50,43.864744
-66.125592,50,43.918226
-59.868114,50,43.971467
-59.841261,50,44.024892
-71.102127,50,44.078572
-64.005368,50,44.132286
-73.216391,50,44.185799
-58.028114,50,44.239529
-68.299454,50,44.293455
-61.601899,50,44.346832
-61.780498,50,44.400157
-50.504344,50,44.453714
-62.974754,50,44.507307
-67.434507,50,44.561518
-59.552081,50,44.615422
-71.495275,50,44.668974
-73.741311,50,44.722895
-66.994258,50,44.777169
-64.926875,50,44.831188
-74.343581,50,44.884914
-63.54296,50,44.938251
-67.514023,50,44.991768
-67.809697,50,45.045351
-56.890656,50,45.099171
-67.928714,50,45.152952
-62.595874,50,45.20678
-69.472974,50,46.777015
-60.085552,50,46.834418
-55.533056,50,46.88819
-65.289213,50,46.941643
-64.341232,50,46.995413
-66.332684,50,47.049182
-64.936637,50,47.103005
-62.17227,50,47.156365
-58.964059,50,47.210252
-70.074172,50,47.264233
-62.603203,50,47.317673
-59.701969,50,47.371457
-56.528442,50,47.424745
-51.540075,50,47.478892
-59.768444,50,47.532829
-69.190822,50,47.585979
-60.197151,50,47.641224
-60.671521,50,47.694808
-55.773702,50,47.74995
-72.083492,50,47.80356
-51.276828,50,47.85882
-60.010089,50,47.912619
-65.718152,50,47.965794
-62.219838,50,48.019827
